"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lab_force","num_nilf","num_unemployed","num_employed","num_ftyr","num_ft","num_pt","num_lowend","num_noncollege","epop","lfpr","pct_nilf","urate","pct_employed","pct_ftyr","pct_ft","pct_pt","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"81","Engineering","Industrial And Manufacturing Engineering",610,65848,13360,7586,38760,0.00282764234240676,0.202891507714737,0.115204713886527,0.588628356214312,57279,8569,2587,54692,39020,48438,6254,1588,12165,0.830579516462155,0.869866966346738,0.130133033653262,0.0451648946385237,0.954835105361476,0.713449864696848,0.885650552183135,0.114349447816865,0.0290353250932495,0.222427411687267,50559.45,65000,75000,13981,44605,21243,47211,2091,30,11426,10471,0.212322318065849,0.677393390839509,0.322606609160491,0.716969384035962,0.0317549507957721,0.000455594702952254,0.173520835864415,0.159017737820435
"82","Engineering","Industrial Production Technologies",113,12982,1210,1089,9101,0.000557472556328582,0.0932059775073178,0.083885379756586,0.701047604375289,12185,797,270,11915,8106,10610,1305,1137,5782,0.917809274379911,0.938607302418734,0.0613926975812664,0.0221583914649159,0.977841608535084,0.680318925723877,0.890474192194713,0.109525807805287,0.0954259336970206,0.485270667226186,34380.426,50000,63000,2904,10961,2021,9976,1294,0,1173,760,0.223694346017563,0.844322908642736,0.155677091357264,0.768448621167771,0.0996764751193961,0,0.0903558773686643,0.0585425974426129
"83","Engineering","Materials Engineering And Materials Science",145,14627,4558,1123,7194,0.00062811208453383,0.311615505571888,0.0767758255281329,0.491830177069802,12663,1964,365,12298,8189,10001,2297,118,2987,0.840773911259999,0.865727763724619,0.134272236275381,0.0288241333017452,0.971175866698255,0.66588063099691,0.813221662058871,0.186778337941129,0.00959505610668401,0.242885021954789,45000,61000,72805.608,3240,10269,4358,10179,413,0,3568,384,0.22150816982293,0.702057838244343,0.297942161755657,0.695904833527039,0.0282354549805155,0,0.243932453681548,0.0262528201271621
"84","Engineering","Materials Science",193,19714,8682,2479,7543,0.000846557847439661,0.440397686922999,0.125748199249264,0.382621487267931,16561,3153,649,15912,11338,13286,2626,250,2383,0.807142132494674,0.840062899462311,0.159937100537689,0.0391884548034539,0.960811545196546,0.712543991955757,0.834967320261438,0.165032679738562,0.0157114127702363,0.149761186525892,30000,54604.206,70783.23,3517,12754,6960,11405,1130,0,6769,967,0.178401136248351,0.646951405092827,0.353048594907173,0.578522877143147,0.0573196712995841,0,0.343360048696358,0.0490514355280511
"85","Engineering","Mechanical Engineering",3585,398092,81633,41461,237675,0.0170948517095947,0.205060639249219,0.104149292123429,0.597035358660812,357416,40676,18986,338430,235233,293527,44903,9697,76402,0.850130120675623,0.897822613868151,0.102177386131849,0.053120173691161,0.946879826308839,0.695071358922081,0.867319682061283,0.132680317938717,0.0286528972017847,0.225754218006678,50559.45,65000,75839.175,72524,343543,54549,287652,15014,825,74297,38153,0.182178993800428,0.862973885433518,0.137026114566482,0.722576690815188,0.0377149000733499,0.00207238527777499,0.186632738161028,0.0958396551550898
"86","Engineering","Mechanical Engineering Related Technologies",157,17414,2056,666,13641,0.000747791333839619,0.11806592396922,0.0382450901573447,0.78333524750201,15758,1656,550,15208,9843,12535,2673,701,6103,0.873320316986333,0.904904100149305,0.0950958998506948,0.0349029064602107,0.965097093539789,0.647225144660705,0.824237243556023,0.175762756443977,0.0460941609679116,0.401301946344029,47762.9415,56000,65727.285,4398,16759,655,13418,900,83,2844,1145,0.252555415183186,0.962386585505915,0.0376134144940852,0.770529459055932,0.051682554266682,0.00476628000459401,0.163316871482715,0.0657516940392787
"87","Engineering","Miscellaneous Engineering",364,43751,7754,2326,30035,0.00187875379848496,0.177230234737492,0.0531644990971635,0.686498594317844,38019,5732,1353,36666,26947,31539,5127,1063,13398,0.838060844323558,0.86898585175196,0.13101414824804,0.0355874694231831,0.964412530576817,0.734931544209895,0.860170184912453,0.139829815087547,0.0289914362079311,0.365406643757159,39436.371,56626.584,73816.797,7477,34658,9093,28485,3279,48,8580,5150,0.170898950881123,0.792164750519988,0.207835249480012,0.651070832666682,0.0749468583575233,0.00109711778016502,0.196109803204498,0.117711595163539
"88","Engineering","Miscellaneous Engineering Technologies",298,33384,3710,3331,23497,0.00143357447392339,0.111131080757249,0.0997783369278696,0.703840162952312,30695,2689,2370,28325,19474,24479,3846,1359,11560,0.84846034028277,0.9194524323029,0.0805475676971004,0.0772112721941684,0.922788727805832,0.687519858781995,0.864218887908208,0.135781112091792,0.0479788172992056,0.408120035304501,37919.5875,54000,69000,6504,26458,6926,25502,792,496,4408,2878,0.194823867721064,0.792535346273664,0.207464653726336,0.763898873711958,0.0237239396117901,0.0148574167265756,0.132039300263599,0.0862089623771867
"89","Engineering","Nuclear Engineering",107,10382,3441,1636,4323,0.000445823453998101,0.331439029088808,0.157580427663263,0.416393758428049,8880,1502,297,8583,5501,7060,1523,185,2036,0.826719321903294,0.855326526680794,0.144673473319206,0.0334459459459459,0.966554054054054,0.64091809390656,0.82255621577537,0.17744378422463,0.0215542351159268,0.2372130956542,48537.072,63704.907,80895.12,2168,7380,3002,8218,401,0,1298,1385,0.208822962820266,0.7108456944712,0.2891543055288,0.79156231939896,0.0386245424773647,0,0.125024080138702,0.133403968406858
"90","Engineering","Petroleum Engineering",140,15658,1997,971,9945,0.000672385247804109,0.127538638395708,0.0620130284838421,0.635138587303615,13736,1922,1372,12364,8638,10300,2064,475,3284,0.789628305019798,0.877251245369779,0.122748754630221,0.0998835177635411,0.900116482236459,0.698641216434811,0.833063733419605,0.166936266580395,0.0384179877062439,0.265609835004853,45000,80895.12,116286.735,3230,13539,2119,11754,1640,0,1503,1274,0.206284327500319,0.864669817345766,0.135330182654234,0.750670583727168,0.104738791671989,0,0.0959892706603653,0.0813641588964108
