"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lowend","num_noncollege","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"26","Business","Finance",2767,319079,22773,29698,257398,0.0260247438114983,0.0713710397738491,0.0930741289774633,0.806690506112906,7516,108635,0.0235552950836627,0.340464273737852,40000,54604.206,70783.23,56543,227165,91914,255644,16053,460,33618,25572,0.177206898605048,0.711939676381084,0.288060323618916,0.801193434854691,0.050310424691064,0.00144164924673827,0.105359487775755,0.0801431620382413
"27","Business","General Business",3559,485584,35608,31509,397902,0.0396052363175345,0.0733302579986161,0.0648888760749942,0.81942979999341,31529,260608,0.0649300635935286,0.536689841510429,30600,45503.505,60671.34,83517,291099,194485,368302,48503,1453,40945,52417,0.171992899271805,0.599482272892023,0.400517727107977,0.758472272562523,0.0998859105736598,0.00299227322152295,0.0843211473195163,0.107946307950839
"28","Business","Hospitality Management",846,99761,5669,3337,86204,0.00813671368964702,0.0568258136947304,0.0334499453694329,0.864105211455378,11650,69508,0.116779102053909,0.696745221078377,30000,39000,50000,17091,26285,73476,78181,5913,432,7755,12498,0.17131945349385,0.263479716522489,0.736520283477511,0.783683002375678,0.0592716592656449,0.00433034953538958,0.0777357885345977,0.125279417808562
"29","Business","Human Resources And Personnel Management",434,52615,4302,4599,40578,0.0042913883259067,0.0817637555830086,0.0874085336881118,0.771224935854794,756,35443,0.014368526085717,0.673629193195857,30740.1456,40447.56,50559.45,11962,15640,36975,38974,6762,0,4385,5623,0.227349615128766,0.297253634894992,0.702746365105008,0.74073933288986,0.128518483322246,0,0.0833412524945358,0.106870664259242
"30","Business","International Business",355,40805,3543,1861,32047,0.00332814027632088,0.0868275946575175,0.0456071559857861,0.785369440019605,2001,18267,0.0490381080749908,0.447665727239309,36000,47525.883,62693.718,7094,17720,23085,33058,1468,0,3784,8948,0.173851243720132,0.434260507290773,0.565739492709227,0.810145815463791,0.0359759833353756,0,0.0927337336110771,0.219286852101458
"31","Business","Management Information Systems And Statistics",355,38279,3083,2210,32281,0.00312211448688364,0.0805402439980146,0.0577340055905327,0.843308341388229,392,11138,0.0102406018966013,0.290968938582513,45503.505,58648.962,72000,9176,27004,11275,26221,4523,145,5413,3721,0.239713681130646,0.705452075550563,0.294547924449437,0.684996995741791,0.118158781577366,0.00378797774236527,0.14140912772016,0.0972073460644217
"32","Business","Marketing And Marketing Research",3304,395460,17862,21955,342540,0.0322545362988323,0.0451676528599605,0.0555176250442523,0.866181156121985,25713,192804,0.0650204824761038,0.487543620087999,35000,44492.316,57000,71473,148936,246524,335731,23784,963,20902,30501,0.180733828958681,0.376614575431143,0.623385424568856,0.848963232691043,0.0601426187225004,0.00243513882567137,0.0528549031507611,0.0771279016841147
"33","Business","Miscellaneous Business & Medical Administration",315,33475,3571,2639,26186,0.00273029030142976,0.106676624346527,0.0788349514563107,0.782255414488424,2436,17028,0.0727707244212099,0.508678117998506,32358.048,45503.505,60671.34,5782,18998,14477,26842,3184,312,1793,2358,0.172725914861837,0.567528005974608,0.432471994025392,0.80185212845407,0.0951157580283794,0.00932038834951456,0.053562359970127,0.0704406273338312
"34","Business","Operations Logistics And E-Commerce",363,44033,1996,1940,38682,0.00359142263906965,0.0453296391342857,0.0440578656916404,0.878477505507233,649,19274,0.014738945790657,0.437717166670452,42469.938,55000,65727.285,7621,30805,13228,36907,2584,28,3539,2446,0.173074739399995,0.699588944655145,0.300411055344855,0.838166829423387,0.0586832602820612,0.000635886721322644,0.0803715395271728,0.0555492471555424
"35","Communications & Journalism","Advertising And Public Relations",901,106317,6855,4964,91964,0.00867143462216901,0.0644769886283473,0.0466905574837514,0.864998071804133,5956,45346,0.0560211443137034,0.42651692579738,30335.67,40447.56,54604.206,17300,25408,80909,88448,8423,176,3953,10874,0.162720919514283,0.238983417515543,0.761016582484457,0.831927161225392,0.07922533555311,0.00165542669563663,0.0371812598173387,0.10227903345655
